MajorCollege,Major,CumulativeGPA,TotalLoansAccepted,TotalGrantsAccepted,TotalScholarshipsAccepted,GraduateCount,GPA_Score,Loan_Score,Graduate_Score,EmployabilityScore,NationalAvgDebt
Liberal Arts & Behavioral Scie,Human Services & Consumer Sci,2.72440487804878,7213.393939393939,4091.0280000000002,1078.9473684210527,41,0.43464418039930064,0.7590002722386255,0.06920415224913495,0.42231899950604834,
Liberal Arts & Behavioral Scie,Music,2.745236111111111,6811.195652173913,3918.7678571428573,3054.7839682539684,72,0.44543574366427285,0.7827087697961007,0.12283737024221454,0.4498381394772037,
Liberal Arts & Behavioral Scie,Psychology,2.851925043177893,7873.952483801296,3990.922675736961,2603.602580645161,579,0.5007056528734859,0.7200621386505932,1.0000000000000002,0.7163009027445724,26500.0
Liberal Arts & Behavioral Scie,Social Work,2.7671947368421055,7201.5723684210525,3977.783841463415,1281.408148148148,190,0.4568113496151456,0.7596971217664379,0.3269896193771626,0.5087305621891384,27500.0
Liberal Arts & Behavioral Scie,Sociology,2.8725714285714288,9874.568181818182,3801.6052631578946,1070.4545454545455,63,0.5114014563096367,0.6021312724658451,0.10726643598615918,0.417379895059456,26000.0
Liberal Arts & Behavioral Scie,Theatre,2.66317037037037,6501.135135135135,4249.866666666667,1988.1724137931035,54,0.4029218113185218,0.8009859958422223,0.09169550173010381,0.42897317379910654,
School of Communication,Communication Studies,2.8497558139534886,6563.071428571428,3878.3548387096776,1967.3971428571426,43,0.4995818896117845,0.7973350194250847,0.0726643598615917,0.4608325696307167,
School of Communication,Communications,3.5573755555555553,13651.538461538461,1049.5,1734.6725,45,0.866162359725706,0.3794891243096612,0.07612456747404844,0.4831490514253953,
School of Communication,Entertainmnt Record Indus Mgmt,2.721994791666667,7833.649350649351,3893.431818181818,1513.804,96,0.43339564174636536,0.7224378989764167,0.1643598615916955,0.4393975848689798,
School of Communication,Journalism,2.8180449438202246,7006.71875,3545.998235294118,2090.6422857142857,89,0.48315416014389956,0.7711832137842128,0.1522491349480969,0.47029136867725274,
School of Communication,Professional Com&Digital Media,3.772759523809524,13721.78125,200.0,2864.82,42,0.977741434892242,0.3753485025527128,0.07093425605536333,0.5249814015393196,
School of Communication,"Radio, Television & Film",2.8173095238095236,6942.316831683168,3939.494098360656,1444.557142857143,147,0.4827731778204789,0.7749795320969163,0.25259515570934254,0.5013816774700692,
School of Communication,Speech Communication,1.8854,5875.0,3061.5,1000.0,3,0.0,0.8378949628709151,0.003460207612456747,0.2524065511450116,
TM School of Law,Immigration Law,3.4401333333333333,12617.75,,1670.2783333333334,10,0.8054253474398161,0.44042814865195634,0.015570934256055364,0.45896986384832994,
TM School of Law,Law,2.7211417307692307,20089.30936819172,2.569402985074627,4589.777685185185,520,0.432953715883599,0.0,0.8979238754325259,0.44255864898319736,
The School of Public Affairs,Administration of Justice,2.904698780487805,7570.626315789474,4138.323732970028,1582.2951707317075,492,0.5280449430251948,0.7379423930970584,0.8494809688581315,0.6874449857966349,
The School of Public Affairs,Emerg Mgmt & Homeland Sec,2.866591304347826,5001.142857142857,2807.0,1709.865,23,0.5083034693254627,0.88940646999396,0.03806228373702422,0.48156201384948033,
The School of Public Affairs,Political Science,2.91945,6647.406779661017,4074.1484848484847,1398.051590909091,164,0.535686771913817,0.7923636793452039,0.2820069204152249,0.5365858886936554,27000.0
The School of Public Affairs,Public Administration,3.3766431372549017,13828.512195121952,1062.5,1203.762,51,0.772534425158079,0.3690570029811432,0.08650519031141869,0.44568242805100017,
The School of Public Affairs,Public Affairs,2.8694043478260873,7377.35294117647,3881.5,1792.857142857143,23,0.5097607587990112,0.7493353340307692,0.03806228373702422,0.4401235888499425,
The School of Public Affairs,Urban Plan Envir Policy,3.5245848484848485,9835.454545454546,0.0,1847.798,33,0.8491752236883012,0.60443691518402,0.05536332179930796,0.537610160570319,
The School of Public Affairs,eMAdministration of Justice,3.6846444444444444,14942.875,,,9,0.9320936592314817,0.3033683397593152,0.01384083044982699,0.4680002147553353,
The School of Public Affairs,eMPublic Administration,3.468958974358974,14854.642857142857,0.0,4492.0,39,0.820358391866461,0.30856938513889187,0.06574394463667821,0.44043735567925546,
